Product Name,Details,Product Category,Reference,Related Products
Made of Carbon Steel,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Carbon Steel&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Metal Side Handles,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Metal Side Handles&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
1.5mm Thickness,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]1.5mm Thickness&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
7 Piece Asian Gift Set with 14" Wok ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]7 Piece Asian Gift Set with 14" Wok &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WPAN-10022</div>,Asian,WPAN-10022,
14" Natural Carbon Steel Wok with Bakelite Handles & Glass Lid  ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]14" Natural Carbon Steel Wok with Bakelite Handles & Glass Lid  &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Half Moon Tray,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Half Moon Tray&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Deep Fry Basket,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Deep Fry Basket&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Bamboo Spoon, Fork & Tong,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Bamboo Spoon, Fork & Tong&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
7 Piece Asian Gift Set with 12" Non-Stick Wok,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]7 Piece Asian Gift Set with 12" Non-Stick Wok&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">wPAN-10023</div>,Asian,wPAN-10023,
12" Non-Stick Carbon Steel Wok with Wood Handle & Lid,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]12" Non-Stick Carbon Steel Wok with Wood Handle & Lid&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
