Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Premier Non-Stick Saute Pan  8" / 9.5" / 12"|Griddles & Saute Pan |||IMU-01871<br>IMU-01872<br>IMU-01874|Available in 3 Sizes:   8" / 9.5" / 12" Cooking Surface<br>Non-Stick Coating<br>Made of Aluminum <br>2.0mm Thickness<br>Black|||Other Saute Pans|product48
Double Burner / Griddle|Griddles & Saute Pan |||IMU-1816|Non-Stick Coating<br>Made of Aluminum<br>Metal Handles <br>2.5mm Thickness<br>Black |||Other Comals |product49
Double Burner / Griddle with Cool Touch Handle |Griddles & Saute Pan |||IMU-1818|Non-Stick Coating <br>Made of Aluminum <br>Cool Touch Handles <br>2.5mm Thickness<br>Black|||Other Comals |product50
Sunburst Non-Stick Saute Pan  8" / 11"|Griddles & Saute Pan |||IMU-22006<br>IMU-22007|Available in 2 Sizes:  8" / 11" Cooking Surface<br>Non-Stick Coating<br>Made of Aluminum <br>2.2mm Thickness<br>Red & Orange with Sunburst Design|||Other Saute Pans|product51
Red Pepper Non-Stick Saute Pan  8" / 11"|Griddles & Saute Pan |||IMU-22009<br>IMU-22011|Available in 2 Sizes:  8" / 11" Cooking Surface<br>Non-Stick Coating <br>Made of Aluminum <br>2.2mm Thickness<br>Red & Yellow with Pepper Design|||Other Saute Pans|product52
Bistro Non-Stick Saute Pan  8" / 10" / 12"|Griddles & Saute Pan |||IMU-25008TGT<br>IMU-25010TGT<br>IMU-25012TGT|Available in 3 Sizes :   8" / 10" / 12" Cooking Surface<br>Non-Stick Coating<br>Made of Aluminum <br>2.5mm Thickness<br>Black|||Other Saute Pans|product53
Square Griddle 11" |Griddles & Saute Pan |||IMU-30011T|11" Cooking Surface<br>Non-Stick Coating <br>3.0mm Thickness<br>Made of Aluminum <br>Black|||Other Comals |product54
Square Griddle 9.5" |Griddles & Saute Pan |||IMU-30026|9.5" Cooking Surface<br>Non-Stick Coating<br>Made of Aluminum <br>3.0mm Thickness<br>Black|||Other Comals |product55
3 Piece Colored Non-Stick Saute Pan Set|Griddles & Saute Pan |||IMU-30076SET|Set Includes 3 Sizes: 8", 10" & 12"<br>Non-Stick Coating<br>Made of Aluminum <br>Soft Touch Handles <br>3.0mm Thickness<br>Red, Orange, Blue Options|||Other Saute Pans|product56
4 Piece Sauce Pan & Jumbo Cooker Set|Griddles & Saute Pan |||IMU-30080SET|Set Includes:  <br>4Qt Deep Fry Pan with Glass Lid <br>2Qt Sauce Pan with Glass Lid <br>Non-Stick coating <br>Made of Aluminum <br>1.8mm Thickness<br>Soft Touch Handles<br>Red, Orange, Blue Options|||Other Saute Pans|product57
Carbon Steel Round Comal 11" |Griddles & Saute Pan |||IMU-52014|11" Cooking Surface<br>Non-Stick Coating<br>Made of Carbon Steel<br>Black|||Other Comals |product58
Carbon Steel Oval Comal 17" |Griddles & Saute Pan |||IMU-52015|17" Cooking Surface<br>Non-Stick Coating<br>Made of Carbon Steel<br>Metal Handles <br>Black|||Other Comals |product59
Round Comal 9.5"|Griddles & Saute Pan |||IMU-80511|9" Cooking Surface<br>Non-Stick Coating<br>Made of Aluminum<br>Black|||Other Comals |product60
Comal with Soft Touch Handle 12" |Griddles & Saute Pan |||IMU-80512|12" Cooking Surface<br>Non-Stick Coating<br>Made of Aluminum<br>Soft Touch Handle <br>Black|||Other Comals |product61
5 Cup Non-Stick Rice Cooker in Grey|Kitchen Appliances|||GAU-00004|Prepares up to 5 cups<br>Removable Non-Stick Cooking Bowl <br>Grey|||Other Kitchen Appliance|product62
